SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532693,PUNJ LLOYD  ,T ,Q,1.62,1.62,1.56,1.56,1.56,1.62,119,166595,262713.00,
532694,BARTRONICSIN,B ,Q,4.68,5.47,4.68,5.19,5.19,5.04,16,256,1309.00,
532695,CELEBRITYFAS,B ,Q,7.75,7.75,7.00,7.26,7.30,7.34,15,631,4532.00,
532696,EDUCOMP SOLN,Z ,Q,1.73,1.82,1.73,1.73,1.82,1.80,20,3576,6186.00,
532698,NITINSPINNER,B ,Q,76.75,77.10,74.15,75.05,75.00,76.30,59,4937,371389.00,
532699,ROYALORCH   ,B ,Q,111.85,113.15,110.35,111.95,113.15,114.90,28,750,83375.00,
532700,ENT NETWORK ,B ,Q,461.95,461.95,436.00,449.75,449.75,465.00,94,1046,470534.00,
532701,CELLA       ,Z ,Q,4.13,4.13,4.13,4.13,4.13,4.34,1,7,28.00,
532702,GUJ PETRONET,A ,Q,186.75,189.50,185.60,188.65,188.00,186.20,309,6970,1306745.00,
532705,JAGRAN PRAK ,A ,Q,113.20,113.20,110.55,111.10,112.10,112.85,133,2666,298205.00,
532706,INOX LEISURE,A ,Q,330.00,335.00,326.50,329.35,329.35,327.35,549,12939,4274640.00,
532707,DYNEMIC PRO ,B ,Q,113.25,116.90,112.45,114.15,112.45,114.55,15,617,71679.00,
532708,GVK POWERINF,B ,Q,6.37,6.67,6.31,6.50,6.50,6.52,290,345460,2227859.00,
532710,SADBHAV ENGG,A ,Q,259.00,262.70,254.95,258.35,258.35,259.05,403,11477,2966572.00,
532711,SUNIL HITECH,T ,Q,0.75,0.78,0.74,0.74,0.74,0.77,33,24671,18338.00,
532712,REL COM LTD ,A ,Q,1.75,1.75,1.66,1.67,1.67,1.74,3259,10602596,17756374.00,
532713,SAKUMA EXPO ,B ,Q,26.30,27.30,25.50,26.35,26.35,26.35,332,92211,2406467.00,
532714,KEC INTERN  ,A ,Q,313.60,319.20,309.90,316.70,316.70,316.25,470,11014,3475852.00,
532716,GILLA ARBUT ,B ,Q,44.05,44.05,44.05,44.05,44.05,45.05,1,3,132.00,
532717,INDOTECHTR  ,B ,Q,111.50,111.50,96.65,97.70,97.70,99.35,14,1104,119037.00,
532719,BL KASHYAP  ,B ,Q,13.25,13.25,11.95,12.20,12.20,13.30,244,48005,587588.00,
532720,M&M FINANSER,A ,Q,417.00,428.00,415.00,425.70,425.10,417.35,1127,147786,62487291.00,
532721,VISA STEEL  ,B ,Q,7.20,7.20,6.18,6.29,6.29,6.74,10,1807,12161.00,
532722,NITCO TILES ,B ,Q,36.00,36.30,34.25,35.50,35.10,36.80,74,5244,184715.00,
532725,SOLAR IND   ,A ,Q,1172.95,1179.75,1155.05,1169.25,1171.05,1179.35,87,760,889412.00,
532726,GALLAN METAL,B ,Q,40.55,40.55,40.55,40.55,40.55,42.00,3,1005,40752.00,
532727,ADHUNIK MET ,T ,Q,1.72,1.72,1.72,1.72,1.72,1.81,2,210,361.00,
532729,UTTAM SUGAR ,B ,Q,124.05,126.00,121.75,124.05,126.00,124.75,152,9967,1227590.00,
532730,STL GLOBAL  ,B ,Q,15.10,15.24,13.80,13.80,13.80,14.52,228,121703,1809870.00,
532731,ROHIT FERRO ,T ,Q,1.12,1.12,1.10,1.11,1.10,1.14,3,3240,3614.00,
532732,KEWAL KIRAN ,B ,Q,1314.00,1314.00,1256.10,1264.85,1265.00,1239.70,16,116,149517.00,
532733,SUN TVNET   ,A ,Q,530.15,536.50,511.00,524.95,524.95,527.55,2537,177733,92085878.00,
532734,GODAWARI POW,B ,Q,244.85,248.60,243.45,245.80,248.60,244.95,176,3068,754498.00,
532735,RSYSTEMINT  ,B ,Q,44.80,45.10,44.80,45.10,45.10,44.50,6,166,7482.00,
532737,EMKAY GLOB F,B ,Q,76.00,79.40,74.35,79.35,76.50,76.30,10,334,25484.00,
532738,TANTIA CONS ,T ,Q,2.68,2.68,2.60,2.60,2.60,2.68,3,1450,3770.00,
532740,LOKESH MACH ,B ,Q,44.20,47.00,44.05,46.90,47.00,44.65,31,464,21187.00,
532741,KAMDHENU    ,B ,Q,168.00,170.70,165.40,165.80,165.75,170.80,71,4273,716050.00,
532742,PAUSHAK LTD ,X ,Q,2565.00,2565.00,2450.00,2478.70,2456.00,2528.10,163,1470,3717538.00,
532745,INDICAP     ,X ,Q,35.00,37.45,35.00,36.90,37.45,36.00,26,2362,84661.00,
532748,PRIME FOCUS ,B ,Q,55.40,58.35,55.40,55.90,55.90,56.85,38,1938,109670.00,
532749,ALLCARGO    ,B ,Q,106.35,107.55,104.20,106.60,106.60,105.50,100,3573,379340.00,
532751,EASUNREYRL  ,B ,Q,4.65,4.99,4.48,4.99,4.99,4.85,4,320,1482.00,
532754,GMR INFRASTR,A ,Q,14.70,15.10,14.60,15.00,15.00,14.75,1098,656714,9771240.00,
532755,TECH MAH    ,A ,Q,769.00,770.00,760.00,761.90,763.00,767.40,1445,41371,31603979.00,
532756,MAHINDCIE   ,A ,Q,246.00,246.10,241.80,243.15,243.15,246.50,196,3154,770031.00,
532757,VOLTAMP TRAN,B ,Q,1170.55,1235.00,1170.55,1226.20,1226.20,1181.95,127,705,855930.00,
532759,ATLANTA     ,B ,Q,12.10,12.35,10.90,11.24,11.20,12.10,138,11132,127769.00,
532760,DEEP INDS   ,B ,Q,153.25,162.85,150.40,160.00,160.00,151.95,584,44315,7079567.00,
532761,HOV SERVICES,B ,Q,125.00,129.70,124.20,126.10,126.10,126.90,181,6224,783457.00,
532762,ACTION CONST,B ,Q,99.00,101.75,98.40,100.70,100.35,100.05,239,16842,1679507.00,
532764,GEECEE      ,B ,Q,116.00,117.90,113.60,117.35,116.90,118.80,25,1121,131231.00,
532766,RICHA IND   ,XT,Q,1.42,1.42,1.40,1.40,1.40,1.42,3,1200,1683.00,
532767,GAYATRI PROJ,B ,Q,175.15,175.15,168.00,172.75,170.15,171.60,113,1778,303646.00,
532768,FIEM INDS   ,B ,Q,465.00,465.00,456.80,457.10,457.10,453.50,24,161,73981.00,
532771,JHS SVEN    ,B ,Q,19.70,19.85,16.05,19.15,19.10,20.05,1447,146423,2646192.00,
532772,DCBBANK     ,A ,Q,241.60,241.60,237.00,237.85,237.65,238.50,673,50795,12094294.00,
532773,GLOBAL VECT ,T ,Q,65.00,66.45,64.45,66.45,66.45,67.80,16,676,44210.00,
532774,INSPIRISYS  ,B ,Q,51.00,51.00,46.05,47.50,49.90,51.00,23,1055,50737.00,
532775,GTL INFRAST ,T ,Q,0.80,0.81,0.77,0.80,0.80,0.78,68,164644,131158.00,
532776,SHIVAM AUTO ,B ,Q,34.75,34.75,32.50,32.55,32.55,33.45,73,3759,123092.00,
532777,INFO EDGE   ,A ,Q,2280.00,2325.20,2247.70,2262.10,2253.00,2277.90,821,5195,11917715.00,
532779,TORNT POWER ,A ,Q,249.00,250.90,246.40,247.80,247.80,249.15,975,50750,12610457.00,
532780,PARSVNATH   ,B ,Q,3.58,3.85,3.58,3.79,3.79,3.94,91,21154,78872.00,
532782,SUTLEJ TEXT ,B ,Q,32.10,32.40,30.00,30.55,30.55,31.25,94,21733,663297.00,
532783,DAAWAT      ,B ,Q,29.80,29.90,29.20,29.40,29.60,29.40,185,23609,697789.00,
532784,SOBHA       ,A ,Q,552.00,572.90,550.90,570.85,572.50,547.45,1325,18911,10724263.00,
532785,RUCHIRA PAP ,B ,Q,95.00,95.55,92.10,93.70,94.00,95.80,69,2070,194507.00,
532787,ESS DEE ALUM,Z ,Q,9.00,9.00,8.36,8.36,8.36,8.80,9,752,6293.00,
532788,XLENERGY    ,T ,Q,0.77,0.77,0.71,0.71,0.71,0.74,3,590,438.00,
532790,TANLA       ,B ,Q,64.00,65.30,63.00,64.20,64.20,62.60,782,128584,8257930.00,
532794,ZEEMEDIA    ,B ,Q,13.05,13.16,12.60,12.82,12.82,12.99,489,193021,2452492.00,
532795,SITINET     ,T ,Q,3.08,3.08,2.93,2.93,3.05,3.08,32,48309,141643.00,
532796,LUMAX TECH  ,B ,Q,123.15,123.15,118.00,118.60,118.60,123.15,40,873,105148.00,
532797,AUTOIND     ,B ,Q,46.60,46.65,46.60,46.60,46.60,46.00,6,400,18644.00,
532798,NTWK MED INV,A ,Q,29.15,29.35,28.70,29.25,29.00,29.35,184,34946,1014143.00,
532799,HUBTOWN     ,B ,Q,25.05,25.25,24.30,24.75,24.65,25.40,40,1326,32818.00,
